org_text,clean_text,start_time,signer_id,signer,start,end,file,label,height,fps,end_time,url,text,box,width,review
yellow,yellow,3.003,1,31,90,160,ASL Vocabulary yellow,52,360.0,29.97,5.339,https://www.youtube.com/watch?v=0Beq_NIDj2c,yellow,0.0,640.0,1
teacher ,teacher,13.995,144,-1,419,464,teacher - ASL sign for teacher,2,360.0,29.94,15.498,https://www.youtube.com/watch?v=_HOx2QkkTsg,teacher,0.0459983646869659,480.0,1
teacher ,teacher,15.498,144,-1,464,510,teacher - ASL sign for teacher,2,360.0,29.94,17.034,https://www.youtube.com/watch?v=_HOx2QkkTsg,teacher,0.0459983646869659,480.0,1
Deaf,deaf,0.0,38,52,0,107,Deaf in American Sign Language,9,270.0,29.917,3.577,www.youtube.com/watch?v=IgT0jDp56ZM,deaf,0.0336162447929382,480.0,
university,university,0.0,62,-1,0,96,Sign for UNIVERSITY from page 14,378,360.0,30.0,3.2,https://www.youtube.com/watch?v=jrQalROeZtg,university,0.063923180103302,640.0,
FIX-[fingerspelled version],fix,0.0,0,0,0,79,FIX-fingerspelled version,759,720.0,29.97,2.636,https://www.youtube.com/watch?v=FL6MaUJmIkA,fix,0.017094999551773,1280.0,
clock,clock,0.0,0,0,0,77,clock(2),735,360.0,29.97,2.569,https://www.youtube.com/watch?v=pAoM56DCisM,clock,0.0624838769435882,640.0,
there,there,0.0,2,33,0,148,There,515,360.0,29.603,5.0,https://www.youtube.com/watch?v=5WevUel4BPk,there,0.0,640.0,
next week,next week,0.0,2,11,0,116,Next Week,331,360.0,29.645,3.913,https://www.youtube.com/watch?v=I1o0fccwWSg,next week,0.0,640.0,
Again,again,0.0,27,47,0,117,Baby Sign Language Again,26,360.0,30.003,3.9,www.youtube.com/watch?v=AoQAPgEUIAs,again,0.0197879076004028,640.0,
SICK,sick,0.0,0,0,0,78,SICK,63,720.0,29.97,2.603,https://www.youtube.com/watch?v=NBqpHJiufXU,sick,0.0570043623447418,1280.0,
MEAT,meat,0.0,0,-1,0,90,MEAT(2),349,360.0,25.0,3.6,https://www.youtube.com/watch?v=Bn7j1v1ksl0,meat,0.0585196614265441,480.0,
essential-[IMPORTANT],important,0.0,0,-1,0,75,essential-IMPORTANT(1),624,360.0,29.98,2.502,https://www.youtube.com/watch?v=V_dT923VQ70,important,0.072821706533432,640.0,
football,football,0.0,269,53,0,116,SignSchool football,233,360.0,29.97,3.871,www.youtube.com/watch?v=25BrmaKbzYo,football,0.0849744975566864,640.0,
MOM,mother,4.805,8,20,144,198,Basic ASL Vocabulary for Babies,19,360.0,29.97,6.607,https://www.youtube.com/watch?v=htsdwxJ-fTo,mother,0.0981445610523223,640.0,
DAD,father,7.207,8,20,216,284,Basic ASL Vocabulary for Babies,31,360.0,29.97,9.476,https://www.youtube.com/watch?v=htsdwxJ-fTo,father,0.0502010583877563,640.0,
MILK,milk,10.077,8,20,302,369,Basic ASL Vocabulary for Babies,32,360.0,29.97,12.312,https://www.youtube.com/watch?v=htsdwxJ-fTo,milk,0.102222859859466,640.0,
EAT,eat,12.913,8,20,387,452,Basic ASL Vocabulary for Babies,3,360.0,29.97,15.082,https://www.youtube.com/watch?v=htsdwxJ-fTo,eat,0.098976582288742,640.0,
DRINK,drink,15.682,8,20,470,511,Basic ASL Vocabulary for Babies,56,360.0,29.97,17.05,https://www.youtube.com/watch?v=htsdwxJ-fTo,drink,0.101890444755554,640.0,
HOT,hot,17.651,8,20,529,596,Basic ASL Vocabulary for Babies,135,360.0,29.97,19.887,https://www.youtube.com/watch?v=htsdwxJ-fTo,hot,0.0980072617530822,640.0,
COLD,cold,20.521,8,20,615,685,Basic ASL Vocabulary for Babies,177,360.0,29.97,22.856,https://www.youtube.com/watch?v=htsdwxJ-fTo,cold,0.101920843124389,640.0,
MORE,more,23.457,8,20,703,756,Basic ASL Vocabulary for Babies,164,360.0,29.97,25.225,https://www.youtube.com/watch?v=htsdwxJ-fTo,more,0.0937185585498809,640.0,
HELP,help,25.826,8,20,774,837,Basic ASL Vocabulary for Babies,50,360.0,29.97,27.928,https://www.youtube.com/watch?v=htsdwxJ-fTo,help,0.10067668557167,640.0,
CLOTHES,clothes,30.964,8,20,928,992,Basic ASL Vocabulary for Babies,444,360.0,29.97,33.1,https://www.youtube.com/watch?v=htsdwxJ-fTo,clothes,0.0771054327487945,640.0,
YOU,you,41.408,8,20,1241,1301,Basic ASL Vocabulary for Babies,68,360.0,29.97,43.41,https://www.youtube.com/watch?v=htsdwxJ-fTo,you,0.10208573937416,640.0,
YOURS,your,44.044,8,20,1320,1381,Basic ASL Vocabulary for Babies,101,360.0,29.97,46.079,https://www.youtube.com/watch?v=htsdwxJ-fTo,your,0.0986230671405792,640.0,
DOWN,down,49.416,8,20,1481,1558,Basic ASL Vocabulary for Babies,914,360.0,29.97,51.985,https://www.youtube.com/watch?v=htsdwxJ-fTo,down,0.103068977594375,640.0,
HURT,hurt,52.586,8,20,1576,1649,Basic ASL Vocabulary for Babies,76,360.0,29.97,55.022,https://www.youtube.com/watch?v=htsdwxJ-fTo,hurt,0.104097425937652,640.0,
AGAIN,again,55.622,8,20,1667,1739,Basic ASL Vocabulary for Babies,26,360.0,29.97,58.025,https://www.youtube.com/watch?v=htsdwxJ-fTo,again,0.0979479551315307,640.0,
WANT,want,58.659,8,20,1758,1823,Basic ASL Vocabulary for Babies,8,360.0,29.97,60.827,https://www.youtube.com/watch?v=htsdwxJ-fTo,want,0.111859411001205,640.0,
LIKE,like,61.428,8,20,1841,1918,Basic ASL Vocabulary for Babies,6,360.0,29.97,63.997,https://www.youtube.com/watch?v=htsdwxJ-fTo,like,0.0782209038734436,640.0,
DON'T LIKE,not like,64.665,8,20,1938,2009,Basic ASL Vocabulary for Babies,165,360.0,29.97,67.034,https://www.youtube.com/watch?v=htsdwxJ-fTo,not like,0.0852002799510955,640.0,
MAD,mad,67.634,8,20,2027,2097,Basic ASL Vocabulary for Babies,152,360.0,29.97,69.97,https://www.youtube.com/watch?v=htsdwxJ-fTo,mad,0.103844195604324,640.0,
FUNNY,funny,73.54,8,20,2204,2270,Basic ASL Vocabulary for Babies,327,360.0,29.97,75.742,https://www.youtube.com/watch?v=htsdwxJ-fTo,funny,0.121793448925018,640.0,
SILLY,silly,76.343,8,20,2288,2355,Basic ASL Vocabulary for Babies,698,360.0,29.97,78.579,https://www.youtube.com/watch?v=htsdwxJ-fTo,silly,0.0957995355129242,640.0,
SAD,sad,79.212,8,20,2374,2432,Basic ASL Vocabulary for Babies,27,360.0,29.97,81.148,https://www.youtube.com/watch?v=htsdwxJ-fTo,sad,0.0983379781246185,640.0,
HUNGRY,hungry,81.848,8,20,2453,2524,Basic ASL Vocabulary for Babies,54,360.0,29.97,84.217,https://www.youtube.com/watch?v=htsdwxJ-fTo,hungry,0.0793289244174957,640.0,
FULL,full,84.818,8,20,2542,2605,Basic ASL Vocabulary for Babies,384,360.0,29.97,86.92,https://www.youtube.com/watch?v=htsdwxJ-fTo,full,0.0956131517887115,640.0,
TIRED,tired,89.923,8,20,2695,2763,Basic ASL Vocabulary for Babies,16,360.0,29.97,92.192,https://www.youtube.com/watch?v=htsdwxJ-fTo,tired,0.100097507238388,640.0,
WHERE?,where,92.793,8,20,2781,2849,Basic ASL Vocabulary for Babies,30,360.0,29.97,95.062,https://www.youtube.com/watch?v=htsdwxJ-fTo,where,0.108520239591598,640.0,
BOOK,book,95.696,8,20,2868,2925,Basic ASL Vocabulary for Babies,38,360.0,29.97,97.597,https://www.youtube.com/watch?v=htsdwxJ-fTo,book,0.0999242961406707,640.0,
DIRTY,dirty,98.231,8,20,2944,2999,Basic ASL Vocabulary for Babies,260,360.0,29.97,100.067,https://www.youtube.com/watch?v=htsdwxJ-fTo,dirty,0.104928463697433,640.0,
PLAY,play,100.667,8,20,3017,3088,Basic ASL Vocabulary for Babies,85,360.0,29.97,103.036,https://www.youtube.com/watch?v=htsdwxJ-fTo,play,0.0954577624797821,640.0,
OUTSIDE,outside,103.67,8,20,3107,3179,Basic ASL Vocabulary for Babies,159,360.0,29.97,106.073,https://www.youtube.com/watch?v=htsdwxJ-fTo,outside,0.0940958559513092,640.0,
HOME,home,106.74,8,20,3199,3260,Basic ASL Vocabulary for Babies,118,360.0,29.97,108.775,https://www.youtube.com/watch?v=htsdwxJ-fTo,home,0.107180744409561,640.0,
SISTER,sister,109.376,8,20,3278,3333,Basic ASL Vocabulary for Babies,11,360.0,29.97,111.211,https://www.youtube.com/watch?v=htsdwxJ-fTo,sister,0.107611209154129,640.0,
BROTHER,brother,111.812,8,20,3351,3417,Basic ASL Vocabulary for Babies,34,360.0,29.97,114.014,https://www.youtube.com/watch?v=htsdwxJ-fTo,brother,0.103087067604064,640.0,
GRANDMA,grandmother,114.648,8,20,3436,3492,Basic ASL Vocabulary for Babies,78,360.0,29.97,116.516,https://www.youtube.com/watch?v=htsdwxJ-fTo,grandmother,0.107652842998504,640.0,
GRANDPA,grandfather,117.117,8,20,3510,3580,Basic ASL Vocabulary for Babies,92,360.0,29.97,119.453,https://www.youtube.com/watch?v=htsdwxJ-fTo,grandfather,0.114399939775466,640.0,
AUNT,aunt,120.12,8,20,3600,3664,Basic ASL Vocabulary for Babies,132,360.0,29.97,122.255,https://www.youtube.com/watch?v=htsdwxJ-fTo,aunt,0.104108989238739,640.0,
UNCLE,uncle,122.856,8,20,3682,3760,Basic ASL Vocabulary for Babies,126,360.0,29.97,125.459,https://www.youtube.com/watch?v=htsdwxJ-fTo,uncle,0.10683473944664,640.0,
COUSIN,cousin,126.059,8,20,3778,3845,Basic ASL Vocabulary for Babies,33,360.0,29.97,128.295,https://www.youtube.com/watch?v=htsdwxJ-fTo,cousin,0.115389794111251,640.0,
I Love You,i love you,0.0,27,-1,0,117,Baby Sign Language I Love You,732,360.0,29.97,3.904,https://www.youtube.com/watch?v=CZkLkFnsNBA,i love you,0.0190584957599639,640.0,
warm ,warm,6.506,144,-1,195,316,warm - ASL sign for warm,294,360.0,29.97,10.544,https://www.youtube.com/watch?v=3vH-22ZBt7w,warm,0.0,480.0,1
warm ,warm,13.113,144,-1,393,451,warm - ASL sign for warm,294,360.0,29.97,15.048,https://www.youtube.com/watch?v=3vH-22ZBt7w,warm,0.0,480.0,1
STAND,stand,0.0,173,4,0,53,STAND(2),493,360.0,29.97,1.768,https://www.youtube.com/watch?v=o1XWGA4KCNU,stand,0.0,636.0,
WAIT,wait,0.0,0,-1,0,79,WAIT(2),400,360.0,25.0,3.16,https://www.youtube.com/watch?v=Sy1FdTFzul8,wait,0.0236999094486236,480.0,
BUSINESS-[initialized version],business,0.0,0,0,0,56,BUSINESS-initialized version,495,360.0,29.974,1.868,https://www.youtube.com/watch?v=oQGNnu24SEE,business,0.0596086680889129,640.0,
blue,blue,0.0,1,34,0,89,ASL Vocabulary blue,64,360.0,29.97,2.97,https://www.youtube.com/watch?v=U_nbv5Mq00c,blue,0.0,640.0,
can,can,0.0,52,66,0,79,can(2),142,360.0,29.97,2.636,www.youtube.com/watch?v=trqyl20lEno,can,0.113953500986099,640.0,
throw,throw,0.0,4,46,0,26,SignSchool Throw Apply,829,360.0,29.97,0.868,www.youtube.com/watch?v=oySXUMX7nRY,throw,0.100438058376312,640.0,
FIRE-(terminate)-[excommunicate] (index finger and flat hand version),fire,0.0,0,0,0,55,FIRE-(terminate)-excommunicate (index finger and flat hand version),534,720.0,29.97,1.835,https://www.youtube.com/watch?v=pWO_1CT3QWk,fire,0.0742195844650268,1280.0,
 home,home,0.0,112,-1,0,83,ASL Dictionary - Home,118,360.0,30.0,2.767,https://www.youtube.com/watch?v=B_H3Xg4XiB8,home,0.0142827332019805,640.0,
any,any,0.0,0,0,0,80,any(1),962,360.0,29.97,2.669,www.youtube.com/watch?v=Dbq2emMTZE0,any,0.0827562510967254,540.0,
WIN,win,0.0,0,0,0,65,WIN,451,720.0,25.0,2.6,https://www.youtube.com/watch?v=Yqom91cTkZE,win,0.0711252689361572,1280.0,
socks ,socks,2.339,144,-1,70,190,socks - ASL sign for socks,546,360.0,29.933,6.348,https://www.youtube.com/watch?v=oOJKizLq4jQ,socks,0.061796486377716,480.0,1
socks ,socks,6.348,144,-1,190,320,socks - ASL sign for socks,546,360.0,29.933,10.691,https://www.youtube.com/watch?v=oOJKizLq4jQ,socks,0.061796486377716,480.0,1
"GONE [ABSENT, RUN-OUT-OF], MISSING",gone,0.0,0,0,0,93,GONE ABSENT RUN-OUT-OF MISSING,436,360.0,29.97,3.103,https://www.youtube.com/watch?v=LA36HscT8Bo,gone,0.0528560876846313,640.0,
RUDE,rude,0.0,0,0,0,65,RUDE,296,720.0,29.97,2.169,https://www.youtube.com/watch?v=hlOPlBd6F5Q,rude,0.0744962394237518,1280.0,
BAKE,bake,0.0,0,0,0,69,BAKE,460,360.0,29.97,2.302,https://www.youtube.com/watch?v=Q0vD9t1u5bI,bake,0.0891826450824737,640.0,
Help,help,0.0,27,47,0,102,Baby Sign Language Help,50,360.0,30.003,3.4,www.youtube.com/watch?v=3DbWOEtUigU,help,0.034334659576416,640.0,
wine,wine,0.0,152,98,0,85,Wine - Asl,956,284.0,25.0,3.4,https://www.youtube.com/watch?v=d809az7DnpU,wine,0.113466322422027,500.0,
NORWAY,norway,0.0,0,0,0,81,NORWAY,824,360.0,29.97,2.703,https://www.youtube.com/watch?v=FtAToIc1rAA,norway,0.0644387304782867,640.0,
Hearing,hearing,0.0,38,52,0,107,Hearing in American Sign Language,45,270.0,29.917,3.577,www.youtube.com/watch?v=djZwwts-OiA,hearing,0.0240926146507263,480.0,
spain,spain,0.0,4,46,0,33,SignSchool Spain Sephardic,632,360.0,29.97,1.101,www.youtube.com/watch?v=o_Qs0qUiJN8,spain,0.0956753194332122,640.0,
elementary school,elementary school,23.223,328,50,696,832,Unit 2 Vocabulary Part 1,783,360.0,29.97,27.761,https://www.youtube.com/watch?v=gI_6r7VCzM4,elementary school,0.0440596938133239,640.0,1
middle school,center school,28.695,328,50,860,1003,Unit 2 Vocabulary Part 1,696,360.0,29.97,33.467,https://www.youtube.com/watch?v=gI_6r7VCzM4,center school,0.0477552115917205,640.0,
high school,high school,34.201,328,50,1025,1113,Unit 2 Vocabulary Part 1,478,360.0,29.97,37.137,https://www.youtube.com/watch?v=gI_6r7VCzM4,high school,0.0384913682937622,640.0,
Gallaudet,gallaudet,96.229,328,50,2884,2965,Unit 2 Vocabulary Part 1,911,360.0,29.97,98.932,https://www.youtube.com/watch?v=gI_6r7VCzM4,gallaudet,0.0785779654979705,640.0,
English,english,201.501,328,50,6039,6100,Unit 2 Vocabulary Part 1,66,360.0,29.97,203.537,https://www.youtube.com/watch?v=gI_6r7VCzM4,english,0.0741724371910095,640.0,
Spanish,spanish,204.304,328,50,6123,6244,Unit 2 Vocabulary Part 1,425,360.0,29.97,208.341,https://www.youtube.com/watch?v=gI_6r7VCzM4,spanish,0.0632548332214355,640.0,
French,france,215.816,328,50,6468,6538,Unit 2 Vocabulary Part 1,95,360.0,29.97,218.151,https://www.youtube.com/watch?v=gI_6r7VCzM4,france,0.0716781914234161,640.0,
Sign Language,sign language,218.919,328,50,6561,6651,Unit 2 Vocabulary Part 1,848,360.0,29.97,221.922,https://www.youtube.com/watch?v=gI_6r7VCzM4,sign language,0.0735652446746826,640.0,1
Not,not,252.786,328,50,7576,7627,Unit 2 Vocabulary Part 1,114,360.0,29.97,254.488,https://www.youtube.com/watch?v=gI_6r7VCzM4,not,0.0707887113094329,640.0,
Oh I See,oh i see,260.093,328,50,7795,7872,Unit 2 Vocabulary Part 1,455,360.0,29.97,262.662,https://www.youtube.com/watch?v=gI_6r7VCzM4,oh i see,0.0711889564990997,640.0,
Remember,remember,263.43,328,50,7895,7947,Unit 2 Vocabulary Part 1,161,360.0,29.97,265.165,https://www.youtube.com/watch?v=gI_6r7VCzM4,remember,0.0802902281284332,640.0,
Forgot,forget,265.899,328,50,7969,8035,Unit 2 Vocabulary Part 1,36,360.0,29.97,268.101,https://www.youtube.com/watch?v=gI_6r7VCzM4,forget,0.00419592857360839,640.0,
"BALL-(solid, massive)",ball,0.0,0,0,0,79,BALL-(solid massive),310,360.0,29.97,2.636,https://www.youtube.com/watch?v=e8pEvhbngbc,ball,0.0896591246128082,640.0,
25,25,0.0,0,-1,0,72,25,591,360.0,25.0,2.88,https://www.youtube.com/watch?v=atnHjWFYzds,25,0.126290619373321,480.0,
IN,in,0.0,0,0,0,102,IN,659,720.0,29.97,3.403,https://www.youtube.com/watch?v=YirRi12-zWo,in,0.00676620006561279,1280.0,
fish,fish,0.69,435,112,20,80,fish,25,360.0,29.0,2.759,https://www.youtube.com/watch?v=jsF87QSfxpg,fish,0.0147599577903747,640.0,1
STAND,stand,0.0,0,0,0,72,STAND,493,360.0,29.97,2.402,https://www.youtube.com/watch?v=KhhowNO7Ywk,stand,0.0275454521179199,640.0,
fly ,fly,1.668,144,-1,50,140,fly - ASL sign for fly,602,360.0,29.97,4.671,https://www.youtube.com/watch?v=qxkNda-oprk,fly,0.00485923886299133,480.0,1
fly ,fly,4.671,144,-1,140,290,fly - ASL sign for fly,602,360.0,29.97,9.676,https://www.youtube.com/watch?v=qxkNda-oprk,fly,0.00485923886299133,480.0,1
BED,bed,0.0,0,-1,0,38,BED(1),188,360.0,25.0,1.52,https://www.youtube.com/watch?v=a80af5anctI,bed,0.00429978966712951,480.0,
Married ,marry,0.0,135,-1,0,74,ASL Married ,213,360.0,30.0,2.467,https://www.youtube.com/watch?v=UoDIBaGyhP8,marry,0.298915177583694,480.0,
